Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dejounte Murray\murrade01,murrade01,PG,24,SAS,67,67,31.92537313,6.582089552,14.53731343,0.452772074,0.940298507,2.970149254,0.316582915,5.641791045,11.56716418,0.487741935,1.582089552,2,0.791044776,0.865671642,6.194029851,7.059701493,5.417910448,1.507462687,0.104477612,1.746268657,2.014925373,15.68656716
Jamal Murray\murraja01,murraja01,PG,23,DEN,48,48,35.5,7.875,16.5,0.477272727,2.6875,6.583333333,0.408227848,5.1875,9.916666667,0.523109244,2.770833333,3.1875,0.869281046,0.770833333,3.270833333,4.041666667,4.8125,1.333333333,0.270833333,2.25,1.979166667,21.20833333
Mike Muscala\muscami01,muscami01,C,29,OKC,35,0,18.42857143,3.4,7.628571429,0.445692884,1.942857143,5.257142857,0.369565217,1.457142857,2.371428571,0.614457831,0.942857143,1.028571429,0.916666667,0.542857143,3.228571429,3.771428571,0.8,0.228571429,0.314285714,0.6,1.542857143,9.685714286
Svi Mykhailiuk\mykhasv01,mykhasv01,SF-SG,23,TOT,132,28,20.06060606,3.151515152,7.666666667,0.411067194,1.590909091,4.757575758,0.334394904,1.560606061,2.909090909,0.536458333,0.575757576,0.757575758,0.76,0.363636364,2.106060606,2.46969697,1.666666667,0.772727273,0.181818182,1.333333333,0.954545455,8.46969697
Abdel Nader\naderab01,naderab01,SF,27,PHO,24,0,14.79166667,2.375,4.833333333,0.49137931,0.75,1.791666667,0.418604651,1.625,3.041666667,0.534246575,1.166666667,1.541666667,0.756756757,0.291666667,2.291666667,2.583333333,0.791666667,0.416666667,0.375,0.791666667,1.416666667,6.666666667
Larry Nance Jr.\nancela02,nancela02,PF,28,CLE,35,27,31.17142857,3.657142857,7.771428571,0.470588235,1.171428571,3.257142857,0.359649123,2.485714286,4.514285714,0.550632911,0.857142857,1.4,0.612244898,1.542857143,5.171428571,6.714285714,3.057142857,1.742857143,0.485714286,1.571428571,2.057142857,9.342857143
Aaron Nesmith\nesmiaa01,nesmiaa01,SF,21,BOS,46,1,14.54347826,1.695652174,3.869565217,0.438202247,0.869565217,2.347826087,0.37037037,0.826086957,1.52173913,0.542857143,0.47826087,0.608695652,0.785714286,0.608695652,2.152173913,2.760869565,0.5,0.326086957,0.195652174,0.5,1.891304348,4.739130435
Raul Neto\netora01,netora01,PG,28,WAS,64,22,21.921875,3.265625,6.984375,0.467561521,1,2.5625,0.390243902,2.265625,4.421875,0.512367491,1.171875,1.328125,0.882352941,0.4375,2,2.4375,2.28125,1.140625,0.09375,0.828125,1.703125,8.703125
Georges Niang\niangge01,niangge01,PF,27,UTA,72,10,16.02777778,2.458333333,5.625,0.437037037,1.722222222,4.055555556,0.424657534,0.736111111,1.569444444,0.469026549,0.305555556,0.319444444,0.956521739,0.388888889,2.055555556,2.444444444,0.819444444,0.347222222,0.111111111,0.708333333,1.611111111,6.944444444
Zeke Nnaji\nnajize01,nnajize01,PF,20,DEN,42,1,9.452380952,1.19047619,2.476190476,0.480769231,0.571428571,1.404761905,0.406779661,0.619047619,1.071428571,0.577777778,0.285714286,0.357142857,0.8,0.333333333,1.214285714,1.547619048,0.238095238,0.19047619,0.095238095,0.166666667,0.69047619,3.238095238
